Age,Fare,Parents/Children Aboard,Pclass,Sex,Siblings/Spouses Aboard,Survived
18,227.525,0,1,0,1,1
18,262.375,2,1,0,2,1
19,0,0,2,1,0,0
19,0,0,3,1,0,0
19,6.75,0,3,1,0,0
19,7.65,0,3,1,0,0
19,7.7292,0,3,1,0,0
19,7.7333,0,3,0,0,1
19,7.75,0,3,1,0,0
19,7.75,0,3,1,0,1
19,7.775,0,3,1,0,0
19,7.8542,0,3,0,1,1
19,7.8792,0,3,0,0,1
19,7.8958,0,3,1,0,0
19,8.05,0,3,1,0,0
19,8.05,0,3,1,0,1
19,8.1583,0,3,1,0,0
19,10.1708,0,3,1,0,0
19,10.5,0,2,1,0,0
19,10.5,0,2,1,0,1
19,13,0,2,1,0,0
19,14.4542,0,3,0,1,0
19,14.5,0,3,1,0,0
19,19.9667,0,3,1,1,0
19,26,0,2,0,0,1
19,26,0,2,0,1,1
19,26.2833,2,1,0,0,1
19,30,0,1,0,0,1
19,36.75,1,2,1,1,0
19,53.1,0,1,1,1,0
19,91.0792,0,1,0,1,1
19,263,2,1,1,3,0
20,4.0125,0,3,1,0,0
20,7.05,0,3,1,0,0
20,7.2292,0,3,1,0,1
20,7.75,0,3,0,0,1
20,7.75,0,3,1,0,0
20,7.8542,0,3,1,0,0
20,7.8958,0,3,1,0,0
20,7.925,0,3,1,0,0
20,7.925,0,3,1,1,1
20,8.05,0,3,1,0,0
20,8.6625,0,3,0,0,0
20,8.6625,0,3,1,0,0
20,9.225,0,3,1,0,0
20,9.5,0,3,1,0,0
20,9.825,0,3,0,1,0
20,9.8458,0,3,1,0,0
20,15.5,0,3,1,1,0
20,15.7417,1,3,1,1,1
20,69.55,2,3,1,8,0
20.5,7.25,0,3,1,0,0
21,0,0,2,1,0,0
21,7.05,0,3,1,0,0
21,7.25,0,3,1,0,0
21,7.55,0,3,0,0,0
21,7.55,0,3,1,0,0
21,7.6292,0,3,0,0,0
21,7.65,0,3,0,0,1
21,7.7333,0,3,1,0,0
21,7.75,0,3,0,0,0
21,7.75,0,3,0,0,1
21,7.775,0,3,1,0,0
21,7.7958,0,3,1,0,1
21,7.8,0,3,1,0,0
21,7.8292,0,3,1,0,0
21,7.8542,0,3,1,0,0
21,7.925,0,3,1,0,0
21,8.05,0,3,1,0,0
21,8.4333,0,3,1,0,0
21,8.6625,0,3,1,0,0
21,9.825,0,3,0,1,0
21,10.5,0,2,0,0,1
21,11.5,0,2,1,1,0
21,16.1,0,3,1,0,0
21,34.375,2,3,0,2,0
21,69.55,2,3,0,8,0
21,73.5,0,2,1,0,0
21,73.5,0,2,1,2,0
21,77.2875,1,1,1,0,0
21,77.9583,0,1,0,0,1
21,262.375,2,1,0,2,1
22,0,0,2,1,0,0
22,7.125,0,3,1,0,0
22,7.225,0,3,0,0,1
22,7.225,0,3,1,0,1
22,7.2292,0,3,1,0,0
22,7.25,0,3,0,0,1
22,7.25,0,3,1,0,0
22,7.25,0,3,1,1,0
22,7.5208,0,3,1,0,0
22,7.725,0,3,1,0,0
22,7.7375,0,3,1,0,0
22,7.75,0,3,0,0,1
22,7.75,0,3,1,0,0
22,7.75,0,3,1,1,0
22,7.775,0,3,0,0,1
22,7.7958,0,3,1,0,0
22,7.8792,0,3,0,0,1
22,7.8958,0,3,1,0,0
22,8.05,0,3,1,0,0
22,9,0,3,1,0,0
22,9.35,0,3,1,0,0
22,9.8375,0,3,0,0,0
22,10.5167,0,3,0,0,0
22,29,1,2,0,1,1
22,41.5792,2,2,0,1,1
22,49.5,2,1,0,0,1
22,55,1,1,0,0,1
22,66.6,0,1,0,1,1
22,135.6333,0,1,1,0,0
22,151.55,0,1,0,0,1
23,7.225,0,3,1,0,0
23,7.55,0,3,0,0,1
23,7.8542,0,3,1,0,0
23,7.8792,0,3,0,0,1
23,7.8958,0,3,1,0,0
23,7.925,0,3,0,0,0
23,9.225,0,3,1,0,0
23,9.5,0,3,1,0,0
23,10.5,0,2,1,0,0
23,11.5,1,2,1,2,0
23,13,0,2,1,0,0
23,13,0,2,1,0,1
23,13.7917,0,2,0,0,1
23,14.5,0,3,1,0,0
23,15.0458,0,2,1,0,0
23,56.4958,0,3,1,0,0
23,63.3583,1,1,1,0,1
23,113.275,0,1,0,1,1
23,263,2,1,0,3,1
23.5,7.2292,0,3,1,0,0
24,7.05,0,3,1,0,0
24,7.1417,0,3,1,0,1
24,7.4958,0,3,1,0,0
24,7.7958,0,3,1,0,0
24,7.8792,0,3,0,0,1
24,7.8958,0,3,1,0,0
24,8.05,0,3,1,0,0
24,8.85,0,3,0,0,0
24,9.5,0,3,1,0,0
24,10.5,0,2,1,0,0
24,13,0,2,0,0,0
24,13,0,2,0,0,1
24,13,0,2,1,0,0
24,14.5,2,2,0,0,1
24,15.85,0,3,0,1,1
24,16.1,0,3,1,1,0
24,16.7,2,3,0,0,1
24,18.75,3,2,0,2,1
24,19.2583,3,3,0,0,1
24,22.3583,2,3,0,0,1
24,23.25,0,3,1,2,1
24,24.15,0,3,1,2,0
24,26,0,2,0,1,1
24,27,1,2,0,2,1
24,49.5042,0,1,0,0,1
24,65,2,2,0,1,1
24,69.3,0,1,0,0,1
24,73.5,0,2,1,2,0
24,79.2,0,1,1,0,0
24,83.1583,0,1,0,0,1
24,247.5208,1,1,1,0,0
24,263,2,1,0,3,1
24.5,8.05,0,3,1,0,0
25,0,0,3,1,0,1
25,7.05,0,3,1,0,0
25,7.225,0,3,1,0,0
25,7.25,0,3,1,0,0
25,7.65,0,3,1,0,0
25,7.7417,0,3,1,0,0
25,7.775,0,3,0,0,0
25,7.775,0,3,1,1,0
25,7.775,0,3,1,1,1
25,7.8958,0,3,1,0,0
25,7.925,0,3,0,1,0
25,13,0,2,1,0,0
25,17.8,0,3,1,1,0
25,26,0,2,1,1,0
25,26,1,2,0,0,1
25,30,1,2,0,1,1
25,41.5792,2,2,1,1,0
25,55.4417,0,1,1,1,1
25,82.1708,0,1,0,1,1
25,91.0792,0,1,1,1,1
25,151.55,2,1,0,1,0
26,7.225,0,3,1,0,0
26,7.775,0,3,1,0,0
26,7.8542,0,3,0,0,1
26,7.8542,0,3,1,1,0
26,7.8875,0,3,1,0,0
26,7.8958,0,3,1,0,0
26,7.925,0,3,0,0,1
26,8.05,0,3,1,0,0
26,8.6625,0,3,1,2,0
26,10.5,0,2,1,0,0
26,14.4542,0,3,1,1,0
26,14.4583,0,3,1,0,0
26,15.5,0,3,0,1,1
26,16.1,0,3,0,1,0
26,18.7875,0,3,1,0,1
26,20.575,2,3,1,1,0
26,26,1,2,0,1,0
26,30,0,1,1,0,1
26,56.4958,0,3,1,0,1
26,78.85,0,1,0,0,1
27,6.8583,0,3,1,0,0
27,6.975,0,3,1,0,1
27,7.3125,0,3,1,0,0
27,7.75,0,3,0,0,1
27,7.7958,0,3,1,0,1
27,7.8958,0,3,1,0,0
27,7.925,0,3,0,0,1
27,8.4583,0,3,1,0,0
27,8.6625,0,3,1,0,1
27,10.5,0,2,0,0,1
27,11.1333,2,3,0,0,1
27,12.475,1,3,0,0,1
27,13,0,2,1,0,0
27,13.8583,0,2,0,1,1
27,13.8625,0,2,1,0,1
27,14.4542,0,3,1,1,0
27,15.5,0,3,1,1,0
27,21,0,2,0,1,0
27,26,0,2,1,0,0
27,30.5,0,1,1,0,1
27,53.1,0,1,1,1,1
27,76.7292,0,1,1,0,1
27,211.5,2,1,1,0,0
28,7.2292,0,3,1,0,0
28,7.7375,0,3,0,0,1
28,7.75,0,3,1,0,0
28,7.7958,0,3,1,0,0
28,7.8542,0,3,1,0,0
28,7.8958,0,3,0,0,0
28,7.8958,0,3,1,0,0
28,7.925,0,3,1,2,0
28,8.05,0,3,1,0,0
28,8.1375,0,3,0,0,0
28,9.5,0,3,1,0,0
28,10.5,0,2,1,0,0
28,12.65,0,2,0,0,1
28,13,0,2,0,0,1
28,13,0,2,1,0,0
28,13.5,0,2,1,0,0
28,14.4,1,3,0,1,0
28,15.85,0,3,1,1,0
28,19.9667,0,3,1,1,0
28,22.525,0,3,1,0,0
28,23.25,0,3,0,2,1
28,24,0,2,0,1,1
28,24.15,0,3,0,1,1
28,24.15,0,3,1,1,0
28,26,0,2,0,1,1
28,26.55,0,1,1,0,1
28,31,0,1,1,0,0
28,33,1,2,1,0,0
28,35.5,0,1,1,0,1
28,47.1,0,1,1,0,0
28,56.4958,0,3,1,0,0
28,82.1708,0,1,1,1,0
28.5,7.2292,0,3,1,0,0
28.5,16.1,0,3,1,0,0
29,7.0458,0,3,1,1,0
29,7.225,0,3,1,0,0
29,7.75,0,3,1,0,1
29,7.775,0,3,1,0,0
29,7.775,0,3,1,0,1
29,7.875,0,3,1,0,0
29,7.8958,0,3,1,0,0
29,7.8958,0,3,1,0,1
29,8.05,0,3,1,0,0
29,8.1125,0,3,1,0,1
29,9.4833,0,3,1,0,0
29,9.5,0,3,1,0,1
29,10.4625,1,3,0,1,0
29,10.5,0,2,0,0,1
29,10.5,0,2,1,0,0
29,15.2458,2,3,0,0,1
29,21,0,2,1,1,0
29,21.075,4,3,0,0,0
29,26,0,2,0,1,1
29,27.7208,0,2,1,1,0
29,29.7,0,1,1,0,1
29,30,0,1,1,0,0
29,66.6,0,1,1,1,0
29,211.3375,0,1,0,0,1
30,0,0,1,1,0,0
30,7.225,0,3,1,0,0
30,7.2292,0,3,1,0,0
30,7.25,0,3,1,0,0
30,7.75,0,3,1,0,0
30,7.8958,0,3,1,0,0
30,8.05,0,3,1,0,0
30,8.6625,0,3,0,0,0
30,9.5,0,3,1,0,1
30,10.5,0,2,1,0,0
30,12.35,0,2,0,0,1
30,12.475,0,3,0,0,1
30,13,0,2,0,0,1
30,13,0,2,1,0,0
30,16.1,0,3,1,1,0
30,21,0,2,0,3,1
30,24,0,2,1,1,0
30,24.15,0,3,1,0,0
30,24.15,1,3,0,1,0
30,27.7208,0,1,1,0,0
30,27.75,0,1,1,0,0
30,31,0,1,0,0,1
30,56.9292,0,1,0,0,1
30,86.5,0,1,0,0,1
30,93.5,0,1,0,0,1
30,106.425,0,1,0,0,1
30.5,7.75,0,3,0,0,0
30.5,8.05,0,3,1,0,0
31,7.75,0,3,1,0,0
31,7.775,0,3,1,0,0
31,7.7875,0,3,0,0,1
31,7.8542,0,3,0,0,0
31,7.925,0,3,1,0,1
31,8.6833,0,3,0,0,1
31,10.5,0,2,1,0,0
31,13,0,2,1,0,1
31,18,0,3,0,1,0
31,20.525,1,3,0,1,1
31,26.25,1,2,0,1,1
31,26.25,1,2,1,1,0
31,33,0,2,0,0,1
31,37.0042,1,2,1,1,0
31,50.4958,0,1,1,0,0
31,52,0,1,1,1,0
31,57,0,1,1,1,1
31,113.275,0,1,0,1,1
31,164.8667,2,1,0,0,1
32,7.75,0,3,1,0,0
32,7.8542,0,3,1,0,1
32,7.8958,0,3,1,0,0
32,7.925,0,3,1,0,0
32,7.925,0,3,1,0,1
32,8.05,0,3,0,0,0
32,8.05,0,3,1,0,1
32,8.3625,0,3,1,0,0
32,10.5,0,2,1,0,0
32,13,0,2,0,0,1
32,15.5,1,3,0,1,0
32,15.85,0,3,1,1,0
32,26,0,2,1,1,1
32,30.5,0,1,1,0,1
32,56.4958,0,3,1,0,1
32,73.5,0,2,1,2,0
32,76.2917,0,1,0,0,1
32.5,13,0,2,0,0,1
32.5,30.0708,0,2,1,1,0
33,5,0,1,1,0,0
33,7.75,0,3,0,0,1
33,7.775,0,3,1,0,0
33,7.8958,0,3,1,0,0
33,8.6542,0,3,1,0,0
33,8.6625,0,3,1,0,0
33,9.5,0,3,1,0,0
33,12.275,0,2,1,0,0
33,15.85,0,3,0,3,1
33,16.1,0,3,0,1,1
33,20.525,1,3,1,1,0
33,26,2,2,0,0,1
33,27.75,2,2,0,1,1
33,53.1,0,1,0,1,1
33,86.5,0,1,0,0,1
33,90,0,1,0,1,1
34,6.4958,0,3,1,0,0
34,8.05,0,3,1,0,0
34,10.5,0,2,0,0,1
34,13,0,2,0,0,1
34,13,0,2,1,0,0
34,13,0,2,1,0,1
34,14.4,1,3,1,1,0
34,16.1,0,3,0,1,1
34,21,0,2,1,1,0
34,23,1,2,0,0,1
34,26,0,2,1,1,0
34,26.55,0,1,1,0,1
34,32.5,1,2,0,1,1
34.5,6.4375,0,3,1,0,0
35,7.05,0,3,1,0,0
35,7.125,0,3,1,0,0
35,7.225,0,3,1,0,0
35,7.2292,0,3,0,0,1
35,7.8958,0,3,1,0,0
35,8.05,0,3,1,0,0
35,10.5,0,2,1,0,0
35,20.25,1,3,0,1,1
35,21,0,2,0,0,1
35,23.45,2,3,1,1,0
35,26,0,2,1,0,0
35,26.2875,0,1,1,0,1
35,26.55,0,1,1,0,1
35,52,0,1,0,1,1
35,53.1,0,1,0,1,1
35,83.475,0,1,0,1,1
35,90,0,1,0,1,1
35,135.6333,0,1,0,0,1
35,512.3292,0,1,0,0,1
35,512.3292,0,1,1,0,1
36,0,0,3,1,0,0
36,6.95,0,3,1,0,0
36,7.4958,0,3,1,0,0
36,7.8958,0,3,1,0,0
36,10.5,0,2,1,0,0
36,12.875,0,2,1,0,0
36,13,0,2,0,0,1
36,13,0,2,1,0,0
36,15.55,0,3,1,1,0
36,17.4,0,3,0,1,1
36,24.15,1,3,1,1,0
36,26,0,2,0,1,1
36,26.2875,0,1,1,0,1
36,26.3875,0,1,1,0,1
36,27.75,2,2,1,1,0
36,40.125,0,1,1,0,0
36,71,2,1,0,0,1
36,78.85,0,1,1,1,0
36,120,2,1,0,1,1
36,120,2,1,1,1,1
36,135.6333,0,1,0,0,1
36,512.3292,1,1,1,0,1
36.5,26,2,2,1,0,0
37,0,0,2,1,0,0
37,7.925,0,3,1,2,0
37,8.6625,0,3,1,0,0
37,9.5875,0,3,0,0,0
37,16.1,0,3,1,1,0
37,26,0,2,1,1,0
37,26.55,0,1,1,0,1
37,29.7,1,1,1,0,0
37,42.4,0,1,1,0,0
37,52.5542,1,1,1,1,1
37,53.1,0,1,1,1,0
37,56.4958,0,3,1,0,1
38,0,0,1,1,0,0
38,7.05,0,3,1,0,0
38,7.8958,0,3,1,0,0
38,8.6625,0,3,1,0,0
38,13,0,2,0,0,0
38,31.3875,5,3,0,1,1
38,71.2833,0,1,0,1,1
38,79.2,0,1,0,0,1
38,80,0,1,0,0,1
38,90,0,1,1,1,1
38,153.4625,1,1,1,0,0
38,227.525,0,1,0,0,1
39,0,0,1,1,0,0
39,7.25,0,3,1,0,0
39,7.925,0,3,1,0,0
39,7.925,0,3,1,0,1
39,13,0,2,1,0,0
39,15.05,0,2,1,0,0
39,24.15,0,3,1,0,0
39,26,0,2,1,0,0
39,29.125,5,3,0,0,0
39,31.275,5,3,0,1,0
39,31.275,5,3,1,1,0
39,50,0,1,1,0,0
39,55.9,0,1,0,1,1
39,79.65,1,1,0,1,1
39,83.1583,1,1,0,1,1
39,110.8833,1,1,0,1,1
40,0,0,1,1,0,0
40,7.225,0,3,1,0,0
40,7.75,2,3,0,0,0
40,7.8958,0,3,1,0,0
40,8.05,0,3,1,0,0
40,9.475,0,3,0,1,0
40,13,0,2,0,0,1
40,15.2458,2,3,0,0,0
40,15.5,1,3,1,1,0
40,15.75,0,2,0,0,1
40,27.7208,0,1,1,0,0
40,27.9,4,3,1,1,0
40,31,0,1,1,0,1
40,39,1,2,0,1,1
40,52,0,1,1,0,0
40,89.1042,0,1,0,1,1
40,134.5,1,1,0,1,1
40,153.4625,0,1,0,0,1
40.5,7.75,0,3,1,0,0
40.5,14.5,2,3,1,0,0
41,0,0,2,1,0,0
41,7.125,0,3,1,0,0
41,14.1083,0,3,1,2,0
41,19.5,1,2,0,0,1
41,20.2125,2,3,0,0,0
41,26.55,0,1,1,0,0
41,39.6875,5,3,0,0,0
41,51.8625,0,1,0,1,1
41,134.5,0,1,0,0,1
42,7.55,0,3,1,0,0
42,7.65,0,3,1,0,0
42,7.8958,0,3,1,0,0
42,8.4042,1,3,1,0,0
42,8.6625,0,3,1,0,0
42,13,0,2,0,0,1
42,13,0,2,1,0,0
42,13,0,2,1,0,1
42,26,0,2,0,1,1
42,26.2875,0,1,1,0,1
42,27,0,2,1,1,0
42,52,0,1,1,1,0
42,52.5542,0,1,1,1,1
42,110.8833,0,1,0,0,1
42,133.65,0,1,0,1,1
42,227.525,0,1,0,0,1
43,6.45,0,3,1,0,0
43,8.05,0,3,1,0,0
43,26.25,1,2,1,1,0
43,30.6958,0,1,1,0,0
43,35,0,1,1,0,0
43,46.9,6,3,0,1,0
43,211.3375,1,1,0,0,1
44,7.925,0,3,1,0,1
44,8.05,0,3,1,0,0
44,16.1,1,3,1,0,0
44,26,0,2,0,1,0
44,26,0,2,1,1,0
44,27.7208,0,1,0,0,1
44,57.9792,1,1,0,0,1
44,90,0,1,1,2,0
45,6.975,0,3,1,0,0
45,7.75,0,3,0,0,0
45,8.05,0,3,1,0,1
45,13.5,0,2,0,0,1
45,14.4542,1,3,0,0,0
45,26.25,1,2,0,1,1
45,26.55,0,1,1,0,0
45,26.55,0,1,1,0,1
45,27.9,4,3,0,1,0
45,30,0,1,1,0,1
45,35.5,0,1,1,0,0
45,83.475,0,1,1,1,0
45,164.8667,1,1,0,1,1
45,227.525,0,1,1,0,0
45.5,7.225,0,3,1,0,0
45.5,28.5,0,1,1,0,0
46,12.35,0,2,0,0,1
46,26,0,2,1,0,0
46,35.5,0,1,1,0,1
46,39.6,0,1,1,0,0
46,61.175,0,1,1,1,0
46,79.2,0,1,1,0,0
47,7.25,0,3,1,0,0
47,9,0,3,1,0,0
47,14.5,0,3,0,1,0
47,15,0,2,1,0,0
47,25.5875,0,1,1,0,0
47,30.5,0,1,1,0,1
47,34.0208,0,1,1,0,0
47,38.5,0,1,1,0,0
47,52,0,1,1,0,0
47,52.5542,1,1,0,1,1
48,7.8542,0,3,1,0,0
48,13,0,2,1,0,0
48,25.9292,0,1,0,0,1
48,26.55,0,1,1,0,1
48,34.375,3,3,0,1,0
48,39.6,0,1,0,1,1
48,52,0,1,0,1,1
48,52,0,1,1,1,1
48,55,1,1,0,0,1
48,65,2,2,0,1,1
48,76.7292,0,1,1,1,1
48,146.5208,0,1,0,1,1
49,0,0,3,1,0,0
49,7.775,0,3,1,0,0
49,25.9292,0,1,0,0,1
49,56.9292,0,1,1,1,1
49,76.7292,0,1,0,1,1
49,89.1042,0,1,1,1,1
49,110.8833,1,1,1,1,0
49,221.7792,0,1,1,0,0
50,8.05,0,3,1,0,0
50,10.5,0,2,0,0,1
50,13,0,2,1,0,0
50,26,1,2,0,0,1
50,28.7125,0,1,0,0,0
50,55.9,0,1,1,1,0
50,106.425,0,1,1,1,0
50,133.65,0,1,1,2,1
50,247.5208,1,1,0,0,1
51,7.0542,0,3,1,0,0
51,7.75,0,3,1,0,0
51,8.05,0,3,1,0,0
51,12.525,0,2,1,0,0
51,26.55,0,1,1,0,1
51,61.3792,1,1,1,0,0
51,77.9583,0,1,0,1,1
52,13,0,2,1,0,0
52,13.5,0,2,1,0,0
52,30.5,0,1,1,0,1
52,78.2667,0,1,0,1,1
52,79.65,1,1,1,1,0
52,93.5,1,1,0,1,1
53,51.4792,0,1,0,2,1
54,7.25,0,3,1,0,0
54,14,0,2,1,0,0
54,23,3,2,0,1,1
54,26,0,2,1,0,0
54,26,0,2,1,1,0
54,51.8625,0,1,1,0,0
54,59.4,0,1,0,1,1
54,77.2875,1,1,1,0,0
54,78.2667,0,1,0,1,1
55,15.1,0,3,1,0,0
55,16,0,2,0,0,1
55,30.5,0,1,1,0,0
55.5,8.05,0,3,1,0,0
56,26.55,0,1,1,0,0
56,30.6958,0,1,1,0,0
56,35.5,0,1,1,0,1
56,83.1583,1,1,0,0,1
57,10.5,0,2,0,0,0
57,12.35,0,2,1,0,0
57,26,0,1,1,0,0
58,26.55,0,1,0,0,1
58,29.7,0,1,1,0,0
58,113.275,2,1,1,0,0
58,146.5208,0,1,0,0,1
58,153.4625,1,1,0,0,1
59,7.25,0,3,1,0,0
59,13.5,0,2,1,0,0
60,25.925,0,1,1,0,0
60,26.55,0,1,1,0,0
60,39,1,2,1,1,0
60,75.25,0,1,0,1,1
60,79.2,1,1,1,1,1
61,6.2375,0,3,1,0,0
61,32.3208,0,1,1,0,0
61,33.5,0,1,1,0,0
62,8.05,0,3,0,0,0
62,10.5,0,2,1,0,1
62,26.55,0,1,1,0,0
62,80,0,1,0,0,1
63,9.5875,0,3,0,0,1
63,77.9583,0,1,0,1,1
64,26,0,1,1,0,0
64,27.7208,0,1,1,0,0
64,263,4,1,1,1,0
65,7.75,0,3,1,0,0
65,26.55,0,1,1,0,0
65,61.9792,1,1,1,0,0
66,8.05,0,3,1,0,0
66,10.5,0,2,1,0,0
69,14.5,0,3,1,0,0
70,10.5,0,2,1,0,0
70,71,1,1,1,1,0
70.5,7.75,0,3,1,0,0
71,34.6542,0,1,1,0,0
71,49.5042,0,1,1,0,0
74,7.775,0,3,1,0,0
80,30,0,1,1,0,1
